No.,Paper Name & Year,Publication Type,Objective,Methodology,Key Findings/Conclusions,Advantages/Strengths,Disadvantages/Limitations,Relevance to Project
1,Large Language Models for Mental Health Applications (2024),Systematic Review,"To critically assess the use of LLMs in mental health for early screening, digital interventions, and clinical settings.",Systematic review following PRISMA guidelines across five major databases (2017–2024).,"LLMs effective for detecting mental health issues and providing accessible eHealth services, but risks include hallucinations and ethical gaps.","Provides accessible, non-judgmental support; cost-effective; supports clinicians.",Risk of inconsistent or hallucinatory content; ethical framework gaps.,Validates use of LLM as conversational partner; highlights need for safeguards and human oversight.
2,Conversational Agents for Mental Health and Wellbeing (2021),Book Chapter / Review,To describe potential of conversational interfaces in mental health and identify research challenges.,"Review summarizing evidence-based research on conversational agents for training, literacy, diagnosis, and therapy.",Conversational agents improve accessibility and reduce stigma but face empathy and trust challenges.,"Cost-effective, confidential, always available, reduces stigma.",Limited theoretical models; user engagement and empathy issues.,Informs design of conversational core; identifies empathy and trust management strategies.
3,Digital vs Face-to-Face Cognitive Behavioral Therapy for Depression (2022),Systematic Review & Meta-Analysis,To compare clinical effectiveness of digital versus face-to-face CBT for major depression.,Meta-analysis of 106 studies comparing digital and face-to-face CBT.,Digital CBT comparable to traditional CBT in efficacy but lower adherence.,Higher accessibility and cost-effectiveness.,Lower adherence; risk of detection bias.,Supports digital CBT as therapeutic foundation; emphasizes engagement importance.
4,Natural Language Processing in Mental Health Applications (2017),Scoping Review,To review NLP applications using non-clinical texts for mental health analysis.,Scoping review of literature analyzing social media and diary texts.,NLP effectively infers emotions and distress but raises privacy and accuracy concerns.,Scalable text analysis for detecting emotional patterns.,Privacy issues; context sensitivity may affect accuracy.,Supports emotional pattern analysis feature for journal insights.
5,Privacy-Preserving AI in Mental Health: A Review of Federated Learning Approaches (2025),Review,To explore federated learning in mental health AI as a privacy-preserving alternative.,"Review of FL architectures and privacy-enhancing techniques (DP, MPC, Homomorphic Encryption).",FL enables collaborative AI model training without sharing sensitive data.,Maintains data privacy; allows collective model improvement.,Communication overhead; data heterogeneity challenges.,Justifies 'Privacy First' architecture and federated learning strategy.
6,FedMentor: Domain-Aware Differential Privacy for Heterogeneous Federated LLMs in Mental Health (2025),Conference Paper,To propose a federated fine-tuning framework (FedMentor) using LoRA and domain-aware differential privacy for mental health LLMs.,Development and experimental evaluation on multiple mental health datasets.,FedMentor improves safety and privacy while maintaining high model utility.,Balances confidentiality with model performance and scalability.,Limited discussion of method’s own weaknesses.,Informs privacy-preserving fine-tuning strategy for on-device LLM.
7,Ethical Considerations in Artificial Intelligence Interventions for Mental Health and Wellbeing (2024),Systematic Review,To synthesize key ethical issues in AI mental health interventions and propose responsible implementation practices.,Systematic review of literature (2014–2024) using CASP for quality assessment.,"Ethical considerations include privacy, consent, bias, transparency, and accountability.",Provides comprehensive ethical checklist for AI systems.,Potential study selection bias.,"Defines ethical safeguards across privacy, bias, and consent domains."
8,OpenS2S: Advancing Fully Open-Source End-to-End Empathetic Large Speech Language Model (2025),Technical Report,"To introduce OpenS2S, an open-source empathetic speech LLM for transparent research.",Development of LSLM architecture with streaming speech decoder and auto dataset pipeline.,Achieves competitive empathetic performance with lower data and compute cost.,"Low-latency, open-source, reproducible research.",Initial overfitting during training required extra tuning.,Supports empathetic voice synthesis design.
9,Talk With Human-like Agents: Empathetic Dialogue Through Perceptible Acoustic Reception and Reaction (2024),Conference Paper,To create a multimodal empathetic dialogue system using acoustic perception and expressive synthesis.,"Three-module system integrating speech captioning, LLM generation, and multi-attribute synthesis.",Improved understanding of prosody and emotional nuance in dialogue.,Accurate emotional interpretation from prosody; enhances empathy in AI responses.,Complexity may cause latency or errors.,Informs emotional tone modulation for AI speech responses.
10,Validation of the Patient Health Questionnaire-9 and Generalized Anxiety Disorder-7 (2022),Validation Study,To validate PHQ-9 and GAD-7 screening tools among university students.,Web-based survey with psychometric analysis and diagnostic interviews.,Both scales reliable; limited standalone diagnostic power.,Reliable tools for initial screening.,Low specificity; timing gaps in validation.,Supports inclusion of PHQ-9 and GAD-7 screening tools with disclaimers.
11,User Engagement in Mobile Apps for People with Schizophrenia (2023),Scoping Review,To identify engagement strategies for mobile health apps targeting serious mental illness.,Scoping review following Arksey & O’Malley framework and PRISMA-ScR.,"Effective engagement strategies include personalization, gamification, and reminders.",Comprehensive synthesis of engagement methods.,High heterogeneity in engagement measurement.,Provides evidence-based engagement tactics to reduce attrition.
12,The Engagement Problem in Digital Mental Health Interventions (2023),Review,To analyze engagement challenges in DMHIs and propose strategies for improvement.,"Narrative review of patient-, intervention-, and system-level factors.",Engagement often low; human support and personalization are key drivers.,Identifies multi-level factors influencing adherence.,Variability across populations and app types.,Highlights need for built-in accountability mechanisms.
13,Early Detection of Mental Health Crises Through AI-Powered Social Media Analysis (2024),Prospective Observational Study,To explore AI use for early crisis detection from social media data.,Multimodal deep learning model analyzing 996k social media posts validated against psychiatric assessments.,Model detects crises with 89.3% accuracy and 7.2-day lead time.,High accuracy and scalability across platforms.,Public data bias and ethical concerns.,Validates feasibility of crisis detection feature.
14,Privacy by Design in Mobile Health (2023),Research Article,To evaluate privacy-preserving architectures in mobile health systems.,Comparative analysis of encryption and local computation frameworks.,On-device computation enhances data protection and compliance.,Ensures confidentiality and security.,Computational limits on mobile devices.,Reinforces design of on-device NLP processing.
